Generic Name,Shortage Status,Revision Date,Created Date,NDC Codes
3% and 5% Sodium Chloride Large Volume Injection,Resolved Shortages,"Jul 22, 2025","Jan 24, 2025",00264-7805-10;00264-7806-10;00338-0054-03;00338-0056-03;63323-0530-75
0.45% Sodium Chloride Injection Bags,Resolved Shortages,"May 26, 2016","May 06, 2015",00264-7802-00;00264-7802-10;00338-0043-03;00338-0043-04;00409-7132-02;00409-7985-02;00409-7985-03;00409-7985-09;00409-7985-25
0.45% Sodium Chloride Injection Bags,Resolved Shortages,"Jul 22, 2025","Oct 07, 2024",00264-5804-00;00264-7802-10;00338-0043-03;00338-0043-04;00990-7985-02;00990-7985-03;00990-7985-09;63323-0230-25;63323-0232-50;63323-0626-10;63323-0626-25;63323-0626-55
"0.9% Sodium Chloride 10 mL, 20 mL, and 50 mL Preservative Free Vials and Syringes",Resolved Shortages,"Aug 19, 2019","Jun 12, 2017",00409-4888-10;00409-4888-12;00409-4888-20;00409-4888-50;63323-0186-10;63323-0186-20;64253-0202-30
"0.9% Sodium Chloride 10 mL, 20 mL, and 50 mL Preservative Free Vials and Syringes",Resolved Shortages,"Sep 08, 2023","Oct 06, 2021",00409-4888-10;00409-4888-12;00409-4888-20;00409-4888-50;63323-0186-10;63323-0186-20;64253-0202-30
0.9% Sodium Chloride Flush Syringes,Resolved Shortages,"Aug 23, 2023","Feb 08, 2022",00641-0497-25;08290-3065-44;08290-3065-45;08290-3065-46;63323-0186-02;64253-0111-23;64253-0111-25;64253-0111-30;64253-0111-33;64253-0111-35
0.9% Sodium Chloride Irrigation,Resolved Shortages,"May 26, 2016","Sep 17, 2015",00264-2201-00;00264-2201-10;00264-2201-50;00264-2201-70;00264-7388-50;00264-7388-60;00338-0047-27;00338-0047-29;00338-0047-44;00338-0047-46;00338-0047-47;00338-0048-02;00338-0048-03;00338-0048-04;00338-0048-05;00409-6138-03;00409-6138-22;00409-7138-09;00409-7138-36;00409-7972-05;00409-7972-07;00409-7972-08
0.9% Sodium Chloride Irrigation,Current Shortages,"Jul 22, 2025","Feb 25, 2022",00264-2201-00;00264-2201-10;00264-7388-50;00264-7388-60;00338-0047-27;00338-0047-29;00338-0047-44;00338-0047-46;00338-0047-47;00338-0048-02;00338-0048-03;00338-0048-04;00990-5138-25;00990-5138-50;00990-6138-03;00990-6138-22;00990-7138-09;00990-7138-36;00990-7972-05;00990-7972-07;00990-7972-08;00990-8138-10
0.9% Sodium Chloride Large Volume Bags,Resolved Shortages,"Jun 26, 2019","Jun 18, 2015",00264-7800-00;00264-7800-10;00264-7800-20;00338-0049-02;00338-0049-03;00338-0049-04;00338-9542-01;00338-9542-02;00338-9542-06;00409-7983-02;00409-7983-03;00409-7983-09;00409-7983-25;00409-7983-53;00409-7983-55;00409-7983-61;17271-0701-05;17271-0701-06;17271-0701-07;63323-0623-74;63323-0623-75;63323-0623-76
0.9% Sodium Chloride Large Volume Bags,Resolved Shortages,"Jul 10, 2024","Feb 22, 2022",00264-5802-00;00264-5802-10;00264-7800-00;00264-7800-09;00264-7800-10;00264-7800-20;00338-0049-02;00338-0049-03;00338-0049-04;00338-9543-02;00338-9543-04;00338-9543-06;00409-7101-02;00990-7983-02;00990-7983-03;00990-7983-09;00990-7983-55;00990-7983-61;17271-0701-05;17271-0701-06;17271-0701-07;63323-0623-74;63323-0623-75;63323-0623-76;65219-0222-25;65219-0224-50;79672-0613-03;79672-0613-04;79672-0613-05
0.9% Sodium Chloride Large Volume Bags,Resolved Shortages,"Aug 06, 2025","Oct 04, 2024",00264-5802-00;00264-5802-10;00264-7800-00;00264-7800-09;00264-7800-10;00264-7800-20;00338-0049-02;00338-0049-03;00338-0049-04;00338-9543-02;00338-9543-04;00338-9543-06;00990-7983-02;00990-7983-03;00990-7983-09;00990-7983-55;00990-7983-61;17271-0701-05;17271-0701-06;17271-0701-07;70512-0841-26;70512-0841-51;70512-0841-61;79672-0613-03;79672-0613-04;79672-0613-05
0.9% Sodium Chloride Small Volume Bags (< 150 mL),Resolved Shortages,"Aug 16, 2023","Sep 29, 2017",00264-1800-31;00264-1800-32;00264-1800-36;00338-0049-10;00338-0049-11;00338-0049-18;00338-0049-31;00338-0049-38;00338-0049-41;00338-0049-48;00338-0553-11;00338-0553-18;00409-7101-66;00409-7101-67;00409-7984-06;00409-7984-11;00409-7984-13;00409-7984-20;00409-7984-23;00409-7984-36;00409-7984-37;17271-0701-02;17271-0701-03;63323-0186-00;63323-0623-53;63323-0623-61;65219-0218-50;65219-0220-10;79672-0613-01;79672-0613-02
